"Member_Name,Member_ID,Enrollment_Date,Last_Flight_Date,Tier_Code,Agent_Name,State,Country,Post_Code,DOB,Is_Active"
"Elena,223457,20200115,20260801,GLD,Sam,KA,IND,,19850305,A"
"Elena,223457,20200115,20260910,GLD,Sam,CA,USA,,19850305,A"
"Ravi,223458,20210420,20260901,SLV,Sam,TN,IND,,19880712,A"
"Unknown,,20220210,20260901,SLV,Sam,CA,USA,,19900101,A"
"Mateo,223459,20220615,20260901,GLD,Sam,CA,USA,,20261340,A"
"Nora,223460,20191101,,PLT,Sam,ON,CAN,,19791220,A"
"Jacob,223461,20200310,20260501,SLV,Sam,VIC,AUS,,19821130,A"
"Sofia,223462,20230110,20260901,GLD,Sam,NCR,PHIL,,19950214,A"
"Liam,223463,20210810,20260901,GLD,Sam,ON,CAN,,19920618,A"
"Liam,223463,20210810,20260901,GLD,Sam,ON,CAN,,19920618,A" 
